image_path,cluster_label,row_idx,prob_usable
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090063342_912349010008_6196_0100.png,9,25584,0.023
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090063103_912349010008_6124_0000.png,16,25500,0.023
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/17/cell_1763090248611_912349010008_11437_0100.png,14,32631,0.023
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/32/cell_1763022754604_912349010008_2308_0000.png,15,2244,0.023
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090504042_912349010008_17939_0000.png,16,41347,0.024
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/18/cell_1763090330222_912349010008_13458_0100.png,16,35379,0.024
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/04/cell_1763024643158_912349010008_1299_0100.png,0,11572,0.024
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/16/cell_1763025387468_912349010008_6056_0000.png,15,18785,0.024
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/06/cell_1763024774967_912349010008_2119_0000.png,0,12794,0.024
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090063802_912349010008_6327_0000.png,6,25750,0.024
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/10/cell_1763025053921_912349010008_3760_0000.png,3,15306,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090571973_912349010008_19859_0000.png,16,43906,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/16/cell_1763090207159_912349010008_10411_0100.png,2,31267,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/18/cell_1763090304359_912349010008_12729_0000.png,9,34390,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/14/cell_1763025254757_912349010008_5130_0100.png,0,17361,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/51/cell_1763023871880_912349010008_7639_0000.png,3,10593,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/32/cell_1763022772732_912349010008_2362_0100.png,1,2330,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/18/cell_1763090336834_912349010008_13666_0100.png,4,35672,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090535922_912349010008_18786_0000.png,4,42478,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/37/cell_1763023048442_912349010008_3477_0100.png,0,4081,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/17/cell_1763090263602_912349010008_11842_0100.png,3,33184,0.025
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090050483_912349010008_4897_0100.png,12,24086,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/17/cell_1763090253648_912349010008_11569_0000.png,14,32817,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/42/cell_1763023356317_912349010008_4898_0000.png,0,6312,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/33/cell_1763026391291_912349010008_798_0000.png,0,20213,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090056235_912349010008_5430_0000.png,16,24707,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090139118_912349010008_8693_0000.png,16,28898,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/10/cell_1763025005312_912349010008_3441_0000.png,6,14843,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090056222_912349010008_5420_0100.png,9,24693,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/31/cell_1763026296565_912349010008_357_0100.png,0,19589,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/12/cell_1763025150669_912349010008_4363_0000.png,18,16211,0.026
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090109288_912349010008_7832_0000.png,4,27726,0.0269999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/48/cell_1763023704118_912349010008_6753_0000.png,2,9206,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/12/cell_1763089975090_912349010008_2700_0000.png,9,21172,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/16/cell_1763090168478_912349010008_9377_0100.png,6,29853,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/12/cell_1763089971003_912349010008_2655_0000.png,4,21110,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/19/cell_1763090391509_912349010008_15014_0000.png,4,37476,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090477049_912349010008_17246_0000.png,4,40434,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/47/cell_1763023636443_912349010008_6249_0100.png,0,8455,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090078716_912349010008_7000_0000.png,4,26612,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090539498_912349010008_18910_0000.png,16,42642,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/30/cell_1763022636108_912349010008_1827_0000.png,0,1485,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763089992758_912349010008_3032_0000.png,16,21619,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763090009661_912349010008_3680_0100.png,12,22486,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/48/cell_1763023704118_912349010008_6753_0100.png,15,9207,0.027
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763090018519_912349010008_4033_0000.png,3,22953,0.0279999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090143207_912349010008_8797_0000.png,16,29044,0.0279999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/16/cell_1763090181765_912349010008_9695_0000.png,16,30282,0.0279999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/12/cell_1763025121246_912349010008_4121_0000.png,0,15845,0.0279999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/20/cell_1763090451805_912349010008_16458_0100.png,16,39405,0.0279999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/33/cell_1763026409239_912349010008_892_0000.png,14,20345,0.0279999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/07/cell_1763024872934_912349010008_2659_0000.png,0,13644,0.028
