cluster_label,rank_in_cluster,distance_to_centroid,image_name,image_path
4,15,1.7075610160827637,cell_1763090599524_912349010008_20603_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/23/cell_1763090599524_912349010008_20603_0000.png
4,16,1.7134793996810913,cell_1763090037983_912349010008_4611_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763090037983_912349010008_4611_0000.png
4,17,1.723211407661438,cell_1763026440619_912349010008_1074_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/34/cell_1763026440619_912349010008_1074_0000.png
4,18,1.736350655555725,cell_1763090375424_912349010008_14508_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/19/cell_1763090375424_912349010008_14508_0000.png
4,19,1.7454850673675537,cell_1763090468598_912349010008_16975_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090468598_912349010008_16975_0000.png
4,20,1.7567734718322754,cell_1763090516265_912349010008_18201_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090516265_912349010008_18201_0100.png
5,1,0.18406015634536743,cell_1763090241920_912349010008_11268_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/17/cell_1763090241920_912349010008_11268_0100.png
5,2,0.19164910912513733,cell_1763022400407_912349010008_945_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/26/cell_1763022400407_912349010008_945_0000.png
5,3,0.19900104403495789,cell_1763022385859_912349010008_898_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/26/cell_1763022385859_912349010008_898_0100.png
5,4,0.20105645060539246,cell_1763022387879_912349010008_902_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/26/cell_1763022387879_912349010008_902_0100.png
5,5,0.21193772554397583,cell_1763024876666_912349010008_2687_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/07/cell_1763024876666_912349010008_2687_0000.png
5,6,0.2236725091934204,cell_1763023113493_912349010008_3817_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/38/cell_1763023113493_912349010008_3817_0000.png
5,7,0.23472340404987335,cell_1763024931569_912349010008_3032_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/08/cell_1763024931569_912349010008_3032_0000.png
5,8,0.23537170886993408,cell_1763090496518_912349010008_17753_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090496518_912349010008_17753_0000.png
5,9,0.2557632625102997,cell_1763023143290_912349010008_3942_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/39/cell_1763023143290_912349010008_3942_0000.png
5,10,0.26330089569091797,cell_1763022700862_912349010008_2062_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/31/cell_1763022700862_912349010008_2062_0100.png
5,11,0.2752283215522766,cell_1763090021427_912349010008_4132_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763090021427_912349010008_4132_0100.png
5,12,0.28285080194473267,cell_1763024931569_912349010008_3032_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/08/cell_1763024931569_912349010008_3032_0100.png
5,13,0.2963501513004303,cell_1763090514328_912349010008_18160_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090514328_912349010008_18160_0000.png
5,14,0.3000774681568146,cell_1763022396703_912349010008_934_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/26/cell_1763022396703_912349010008_934_0100.png
5,15,0.3009151220321655,cell_1763090128284_912349010008_8422_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090128284_912349010008_8422_0000.png
5,16,0.3055173456668854,cell_1763025261986_912349010008_5215_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/14/cell_1763025261986_912349010008_5215_0000.png
5,17,0.30657249689102173,cell_1763090266229_912349010008_11897_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/17/cell_1763090266229_912349010008_11897_0000.png
5,18,0.307206392288208,cell_1763090165995_912349010008_9321_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/16/cell_1763090165995_912349010008_9321_0000.png
5,19,0.31036537885665894,cell_1763090004523_912349010008_3458_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763090004523_912349010008_3458_0100.png
5,20,0.311590313911438,cell_1763090425776_912349010008_15965_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/20/cell_1763090425776_912349010008_15965_0000.png
6,1,1.166344165802002,cell_1763090656460_912349010008_22287_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/24/cell_1763090656460_912349010008_22287_0000.png
6,2,1.4698576927185059,cell_1763090014265_912349010008_3866_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763090014265_912349010008_3866_0000.png
6,3,1.4730582237243652,cell_1763090587375_912349010008_20264_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/23/cell_1763090587375_912349010008_20264_0100.png
6,4,1.4745420217514038,cell_1763090407059_912349010008_15449_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/20/cell_1763090407059_912349010008_15449_0000.png
6,5,1.4884320497512817,cell_1763090095810_912349010008_7429_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090095810_912349010008_7429_0000.png
6,6,1.5008100271224976,cell_1763090321291_912349010008_13193_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/18/cell_1763090321291_912349010008_13193_0100.png
6,7,1.5416728258132935,cell_1763090563988_912349010008_19658_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090563988_912349010008_19658_0000.png
6,8,1.5809537172317505,cell_1763090575297_912349010008_19948_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090575297_912349010008_19948_0000.png
6,9,1.5857807397842407,cell_1763090436310_912349010008_16178_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/20/cell_1763090436310_912349010008_16178_0000.png
6,10,1.5939042568206787,cell_1763090553549_912349010008_19308_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090553549_912349010008_19308_0000.png
6,11,1.6572037935256958,cell_1763090424413_912349010008_15915_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/20/cell_1763090424413_912349010008_15915_0000.png
6,12,1.6585760116577148,cell_1763090042872_912349010008_4732_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090042872_912349010008_4732_0000.png
6,13,1.6990798711776733,cell_1763090023284_912349010008_4211_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/13/cell_1763090023284_912349010008_4211_0100.png
6,14,1.717355489730835,cell_1763090320863_912349010008_13184_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/18/cell_1763090320863_912349010008_13184_0000.png
6,15,1.729355812072754,cell_1763090534273_912349010008_18682_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090534273_912349010008_18682_0000.png
6,16,1.7308577299118042,cell_1763090425278_912349010008_15944_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/20/cell_1763090425278_912349010008_15944_0000.png
6,17,1.7452174425125122,cell_1763090370357_912349010008_14433_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/19/cell_1763090370357_912349010008_14433_0000.png
6,18,1.7473818063735962,cell_1763090567895_912349010008_19766_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090567895_912349010008_19766_0100.png
6,19,1.7707109451293945,cell_1763090578803_912349010008_20039_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090578803_912349010008_20039_0000.png
6,20,1.7919657230377197,cell_1763090096843_912349010008_7460_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/14/cell_1763090096843_912349010008_7460_0100.png
7,1,0.5896797180175781,cell_1763024687248_912349010008_1618_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/04/cell_1763024687248_912349010008_1618_0100.png
7,2,0.721642017364502,cell_1763023098481_912349010008_3738_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/38/cell_1763023098481_912349010008_3738_0100.png
7,3,0.8459614515304565,cell_1763023480649_912349010008_5516_0100.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/44/cell_1763023480649_912349010008_5516_0100.png
7,4,0.8652510046958923,cell_1763024637438_912349010008_1237_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/03/cell_1763024637438_912349010008_1237_0000.png
7,5,0.9625791311264038,cell_1763025434835_912349010008_6498_0000.png,/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/17/cell_1763025434835_912349010008_6498_0000.png
